ID,QUESTION_ID,CONTEXT,IS_CORRECT,LINK
154,39,Vehicles must slow down and stop for children crossing the road ahead.,TRUE,
155,39,Pedestrians are not allowed in this area.,FALSE,
156,39,Only school buses are allowed to stop in this area.,FALSE,
157,40,Pedestrians may cross anywhere.,FALSE,
158,40,Vehicles should give way to pedestrians in all places.,FALSE,
159,40,Pedestrians must cross at designated crossings,TRUE,
160,40,Pedestrian traffic has been barred from the road ahead.,FALSE,
161,41,Only the bicycles are allowed to proceed.,FALSE,
162,41,Pedestrians only are permitted on the bike lane.,FALSE,
163,41,Vehicles need to slow down and be on the look out for bikes on the bike lane ahead.,TRUE,
164,41,The vehicles are needed to stop and make way for the bikes.,FALSE,
165,42,"A school is nearby, and vehicles should reduce speed and observe children.",TRUE,
166,42,Only school buses are allowed in the road.,FALSE,
167,42,Vehicles should halt immediately.,FALSE,
168,42,The way ahead is barred to school traffic.,FALSE,
169,43,Only bicycles are allowed in this area.,FALSE,
170,43,The road is closed to vehicles during certain hours.,FALSE,
171,43,"A playground is nearby, and vehicles should slow down and go carefully.",TRUE,
172,43,The area is restricted to pedestrian traffic only.,FALSE,
173,44,All vehicles must stop and measure their height.,FALSE,
174,44,Only emergency vehicles are allowed in this area.,FALSE,
175,44,The road is restricted to bicycles and motorcycles.,FALSE,
176,44,Vehicles taller than 4.8 meters are not allowed beyond this point.,TRUE,
177,45,Vehicles must stop and wait for instructions.,FALSE,
178,45,The road ahead is closed for repairs.,FALSE,
179,45,"The road ahead is prone to accidents, and a good reduction in speed is necessary.",TRUE,
180,45,Only emergency vehicles are allowed beyond this point.,FALSE,
181,46,It gives one signboard carrying directions to several destinations.,TRUE,
182,46,There is only one way out in that area.,FALSE,
183,46,The highway is restricted to some vehicles only.,FALSE,
184,46,Commercial vehicles only are permitted to park.,FALSE,
185,47,Various road routes are open for vehicles.,FALSE,
186,47,This locality is accessible by pedestrians only.,FALSE,
187,47,Trucks are the only vehicles that can proceed from here.,FALSE,
188,47,It gives directions to a single destination.,TRUE,
189,48,Turns to the right are not allowed.,FALSE,
190,48,The driver should stop first.,FALSE,
191,48,"The road ahead is prohibited to motor vehicle, only motorcycles can drive it.",FALSE,
192,48,It guides direction in making a right turn at an intersection.,TRUE,
193,49,It is very specifically a direction sign displaying the route numbers as well as names of roads.,TRUE,
194,49,Access on the route is restricted to particular vehicles only.,FALSE,
195,49,Vehicles have to halt before proceeding on.,FALSE,
196,49,The section is limited to access by pedestrian.,FALSE,
197,50,Drivers must reduce speed right away.,FALSE,
198,50,Pedestrians are not allowed beyond this point.,FALSE,
199,50,"Pedestrians are only permitted to proceed up ahead, cyclists only.",FALSE,
200,50,It indicates the direction or route a driver is currently following.,TRUE,
201,51,Exemptions at tolls from paying are provided only to vehicles of emergencies.,FALSE,
202,51,"On the toll road, only trucks are allowed.",FALSE,
203,51,It displays the toll collections that need to be paid at a toll highway or plaza.,TRUE,
204,51,There should not be passing pedestrians through this toll area.,FALSE,
205,52,Only buses are allowed in the lane.,FALSE,
206,52,It gives direction on which lanes to use for certain directions.,TRUE,
207,52,Vehicles should merge into one lane.,FALSE,
208,52,The road ahead is closed for repairs.,FALSE,
209,53,Pedestrians are required to use the overpass to cross the highway.,TRUE,
210,53,Cars are supposed to stop prior to the overpass.,FALSE,
211,53,Emergency vehicles alone can use the overpass.,FALSE,
212,53,Only bikes are allowed on the overpass.,FALSE,
213,54,Vehicles must stop and be checked for brakes.,FALSE,
214,54,Only trucks need to check their brakes.,FALSE,
215,54,Vehicles must stop and go no further.,FALSE,
216,54,"Drivers, especially of heavy vehicles, must check their brakes, usually before going down a steep hill.",TRUE,
217,55,One can pass the next part of the road using a bicycle.,FALSE,
218,55,"The driver will slow down before entering this part, since dangerous areas exist.",TRUE,
219,55,There must be total stopping of a vehicle.,FALSE,
220,55,This region has no limit for speed.,FALSE,
221,56,Only emergency vehicles are permitted to pass.,FALSE,
222,56,Pedestrians only.,FALSE,
223,56,Vehicles should make a U-turn here.,FALSE,
224,56,"The road is closed to all traffic because of construction, maintenance, or other causes.",TRUE,
225,57,"The road ahead becomes narrower, and drivers must proceed with caution.",TRUE,
226,57,Only one-way traffic is allowed beyond this point.,FALSE,
227,57,The road merges into another lane.,FALSE,
228,57,Pedestrians must avoid crossing in this area.,FALSE,
229,58,The road ahead is restricted to trucks only.,FALSE,
230,58,The bridge is closed to all traffic.,FALSE,
231,58,"A narrow bridge is located ahead, and vehicles must proceed with caution.",TRUE,
232,58,The bridge can be used only for pedestrians.,FALSE,
233,59,Pedestrians are not permitted to cross the road at this point.,TRUE,
234,59,Pedestrians have to cross the road at the opposite side.,FALSE,
235,59,Vehicles must stop for pedestrians.,FALSE,
236,59,Pedestrian crossing is allowed only during certain hours.,FALSE,
237,60,Vehicles have to turn left.,FALSE,
238,60,Vehicles can pass on either side of an obstruction.,TRUE,
239,60,Only the left lane is available.,FALSE,
240,60,Vehicles must stop immediately.,FALSE,
241,61,Vehicles in the rightmost lane must turn right.,TRUE,
242,61,No right turns are allowed.,FALSE,
243,61,All vehicles must go straight.,FALSE,
244,61,The right lane is closed.,FALSE,
245,62,Left turns are not allowed.,FALSE,
246,62,Construction has closed this lane.,FALSE,
247,62,Traffic to turn left is supposed to give right of way.,FALSE,
248,62,Vehicles in the leftmost lane must turn left.,TRUE,
249,63,Trucks should slow down.,FALSE,
250,63,Trucks are not allowed to enter the zone.,TRUE,
251,63,Trucks are allowed to enter only at specific times.,FALSE,
252,63,The road ahead is for trucks.,FALSE,
253,64,A traffic circle ahead of it.,FALSE,
254,64,A T-junction is ahead.,FALSE,
255,64,"Road goes in split forming Y, direction.",TRUE,
256,64,Traffic merges into one lane.,FALSE,
257,65,Go back into right lane.,FALSE,
258,65,Right lane for use of emergency only.,FALSE,
259,65,The road up ahead is blocked.,FALSE,
260,65,The road goes right behind to the rear.,TRUE,
261,66,Traffic from the right will merge into the main road.,TRUE,
262,66,No left turns are permitted.,FALSE,
263,66,The left lane is closed for maintenance.,FALSE,
264,66,Vehicles must stop and yield to traffic.,FALSE,
265,67,The road splits up into two lanes.,FALSE,
266,67,The width of the road ahead decreases.,TRUE,
267,67,Vehicles must take a detour.,FALSE,
268,67,There is one way traffic only ahead.,FALSE,
269,68,Speed limit ahead.,FALSE,
270,68,Road closed due to construction.,FALSE,
271,68,Pedestrian crossing ahead.,FALSE,
272,68,A pictorial representation of future road directions.,TRUE,
273,69,The road at the rotunda is one way.,FALSE,
274,69,A directional diagram for navigating through a roundabout or rotunda.,TRUE,
275,69,A mandatory stop before turning into the roundabout.,FALSE,
276,69,No right turn is allowed on the roundabout.,FALSE,
277,70,"Information about nearby services, such as gas stations or rest areas.",TRUE,
278,70,A no-parking zone begins.,FALSE,
279,70,The road ahead is closed for repairs.,FALSE,
280,70,The area is restricted for commercial vehicles only.,FALSE,
281,71,Access is pedestrians only.,FALSE,
282,71,The driver will not halt nor obstruct the junction. It can be freely allowed for the traffic flow.,TRUE,
283,71,Emergency Vehicles alone can hinder the intersection.,FALSE,
284,71,If they find it as an intersecting area the vehicle must wait for the passageway.,FALSE,
285,72,Only emergency vehicles exceeding 5 tons are allowed.,FALSE,
286,72,Vehicles must stop and weigh their load before proceeding.,FALSE,
287,72,The road ahead is restricted to bicycles and motorcycles.,FALSE,
288,72,Vehicles with a gross vehicle mass exceeding 5 tons are prohibited from entering the area.,TRUE,
289,73,Only emergency vehicles are allowed on the services.,FALSE,
290,73,Only buses and trucks can use this road.,FALSE,
291,73,Gives advance notice about services available that include fueling or rest area.,TRUE,
292,73,Vehicles are supposed to stop before entering the service area.,FALSE,
293,74,Pedestrians can cross the expressway.,FALSE,
294,74,Vehicles like bicycles and tricycles are not permitted on the expressway.,TRUE,
295,74,All vehicles should exit the expressway.,FALSE,
296,74,This road can be used only by trucks.,FALSE,
297,75,This exit is only available to trucks.,FALSE,
298,75,Only the exit ramp must be stopped on.,FALSE,
299,75,This means that the distance available to the next exit is provided in advance.,TRUE,
300,75,This is an exit allowed only for use by emergency vehicles.,FALSE,
301,76,It gives directional guidance for numbered exits.,TRUE,
302,76,Only permitted vehicles are allowed to exit through the numbered exits.,FALSE,
303,76,Only pedestrians are allowed to cross the exit zone.,FALSE,
304,76,The use of the numbered exit is restricted only to emergency vehicles.,FALSE,
305,77,Vehicles on the right lane must give way to oncoming traffic.,FALSE,
306,77,Slow-moving vehicles must stay in the right lane to allow faster vehicles to pass.,TRUE,
307,77,Only emergency vehicles can use the right lane.,FALSE,
308,77,Only trucks are allowed in the right lane.,FALSE,
309,78,Slow down and continue since the way ahead is clear,FALSE,
310,78,"Pull over, make a lookout, and continue driving when safe.",TRUE,
311,78,Resume driving at full speed because you don't need to worry,FALSE,
312,78,"Sound your horn, then go to get across.",FALSE,
313,79,Accelerate into the intersection before the other vehicle,FALSE,
314,79,Slow down and allow the other vehicle to go by so that you can cross.,TRUE,
315,79,"Come to a complete stop, even if it is clear.",FALSE,
316,79,Honk to alert the other driver and move forward.,FALSE,
317,80,Quickly make the left turn before the oncoming vehicle gets close to you.,FALSE,
318,80,Wait for the car to pass in the other direction before turning left.,TRUE,
319,80,Honk the horn to slow the other car down.,FALSE,
320,80,Make the turn as long as there is enough space ahead.,FALSE,
321,81,Turn left if it is safe.,FALSE,
322,81,U-turn if you need to change direction.,FALSE,
323,81,Slow down and turn right slowly.,FALSE,
324,81,Go straight.,TRUE,
325,82,Keep driving the wrong way and flash your lights.,FALSE,
326,82,Accelerate to pass the oncoming traffic before they get in your way.,FALSE,
327,82,Stay in the right lane except when overtaking.,TRUE,
328,82,Honk and wait for others to give way,FALSE,
329,83,Drive as far to the left as is safe.,FALSE,
330,83,Stop on the right and wait for direction.,FALSE,
331,83,Ignore the sign and go anywhere you want.,FALSE,
332,83,Keep to the left lane except to overtake.,TRUE,
333,84,Ignore the sign if the road is empty.,FALSE,
334,84,Slow down or adjust your speed to allow merging vehicles to enter safely.,TRUE,
335,84,Always use the right lane for regular driving.,FALSE,
336,84,Only keep left when approaching a turn.,FALSE,
337,85,Speed up to prevent merging vehicles from entering your lane.,FALSE,
338,85,Turn back or take a detour.,TRUE,
339,85,Honk your horn to warn merging vehicles to stop.,FALSE,
340,85,Move into the merging lane to block incoming traffic.,FALSE,
341,86,Return and go ahead on some other road.,TRUE,
342,86,Go ahead if the road is clear.,FALSE,
343,86,Drive cautiously and slow down.,FALSE,
344,86,Stop and wait for the road to clear.,FALSE,
345,87,Cross the road as no one is using it.,FALSE,
346,87,Stop and seek permission from the road's owner to enter.,FALSE,
347,87,Use the overpass to cross safely.,TRUE,
348,87,Park your three-wheeler and proceed by walking.,FALSE,
349,88,Run across the road quickly.,FALSE,
350,88,Go straight or find another way around the corner to turn right legally.,TRUE,
351,88,Cross the road anywhere if there are no cars.,FALSE,
352,88,Wait until traffic stops before crossing.,FALSE,
353,89,Turn right anyway since there is no policeman around.,FALSE,
354,89,Honk to alert other motorists before you turn right.,FALSE,
355,89,Stop and wait for traffic to clear before turning right.,FALSE,
356,89,Proceed straight and find a legal left-turn.,TRUE,
357,90,Stop in the middle of the road until traffic clears.,FALSE,
358,90,Continue driving until you find a legal U-turn or intersection.,TRUE,
359,90,Turn left if no one is watching.,FALSE,
360,90,Reverse and make the left turn illegally.,FALSE,
361,91,Make a U-turn anyway if no police officers are around.,FALSE,
362,91,Stop in the middle of the road and wait for an opening.,FALSE,
363,91,Wait until you exit the no-overtaking zone before passing.,TRUE,
364,91,Reverse your car to return to the exit.,FALSE,
365,92,Ensure you do not exceed 80 km/h.,TRUE,
366,92,Drive faster if no police are around.,FALSE,
367,92,Ignore the sign if traffic is light.,FALSE,
368,92,Only reduce speed if a speed camera is visible.,FALSE,
369,93,You must keep moving and not stop at all.,FALSE,
370,93,You may stop momentarily to pick up or drop off riders.,TRUE,
371,93,You can park in this zone for an indefinite amount of time.,FALSE,
372,93,This zone is reserved for emergency vehicles only.,FALSE,
373,94,Unload the cargo as fast as you can and leave.,FALSE,
374,94,Wait in your vehicle for the area to clear.,FALSE,
375,94,Ignore the sign and unload.,FALSE,
376,94,Seek another location that allows loading and unloading.,TRUE,
377,95,You disregard the sign and still pick passengers on the regular fare.,FALSE,
378,95,Proceed to find an alternative place wherein the passengers could board and get off.,TRUE,
379,95,Hurry to pick and drop off passengers.,FALSE,
380,95,You only stop when passengers seem in a rush.,FALSE,
381,96,Ignore this if there are no cars.,FALSE,
382,96,"Leave car, with lights blinking.",FALSE,
383,96,Search for a Parking spot,TRUE,
384,96,"Park for sometime, leave at the earliest possible moment.",FALSE,
385,97,Park for a few minutes if no one is watching.,FALSE,
386,97,Park and stay inside the vehicle.,FALSE,
387,97,Stop but keep the engine running.,FALSE,
388,97,Look for a legal parking spot.,TRUE,
389,98,You can park here if you leave your flashers on.,FALSE,
390,98,It only indicates that motorcycles can park in this area.,FALSE,
391,98,Any car parked in this space is subject to towing.,TRUE,
392,98,Parking is permitted at certain times.,FALSE,
393,99,Park since the restriction does not apply on weekends.,TRUE,
394,99,Avoid parking because the sign means no parking at all times.,FALSE,
395,99,Park but only for a short period.,FALSE,
396,99,Overlook the sign and park when you want.,FALSE,
397,100,Ignore the sign if you are traveling at a slow speed.,FALSE,
398,100,Put on your seat belt only when you spot a traffic policeman.,FALSE,
399,100,Make sure you and all passengers are buckled up with seat belts.,TRUE,
400,100,Permit only front passengers to use their seat belts.,FALSE,
401,101,Not even blow horn.,TRUE,
402,101,Honk if traffic is moving too slowly.,FALSE,
403,101,Honk to warn pedestrians.,FALSE,
404,101,Ignore the sign and honk as needed.,FALSE,
405,102,Honk at pedestrians to hurry up.,FALSE,
406,102,Slow down and prepare to stop if needed.,TRUE,
407,102,Accelerate to get through the crossing as soon as possible.,FALSE,
408,102,Ignore pedestrians unless they are already on the road.,FALSE,
409,103,Continue at normal speed since children should use the sidewalk.,FALSE,
410,103,Honk to warn children.,FALSE,
411,103,Slow down and stop if children are crossing.,TRUE,
412,103,Speed up to avoid waiting.,FALSE,
413,104,Drive in the bike lane unless there are riders.,FALSE,
414,104,Honk the horn at any riders in order to get through.,FALSE,
415,104,Speed up through the bike lane to get it over with faster.,FALSE,
416,104,Be careful not to drive into the bike lane.,TRUE,
417,105,Honk your horn to signal them to hurry up.,FALSE,
418,105,Speed up before they enter the crosswalk completely so they don't have to wait.,FALSE,
419,105,Slow down and stop if necessary to allow them to cross safely.,FALSE,
420,105,Ignore the sign and drive by at normal speed.,FALSE,
421,106,Ignore the sign and continue driving at regular pace.,FALSE,
422,106,Slow down prior to making the turn and use caution as you steer around it.,TRUE,
423,106,Speed up to make the turn quicker.,FALSE,
424,106,Drive at a steady pace and depend on your brakes during the turn.,FALSE,
425,107,Adjust your speed and steer smoothly into the curve.,TRUE,
426,107,Speed up to clear the curve quickly.,FALSE,
427,107,Move to the left lane and take the curve faster.,FALSE,
428,107,Honk your horn before entering the curve.,FALSE,
429,108,Curve at sharp speed at the last moment.,FALSE,
430,108,Slow down and curve by staying in the lane.,TRUE,
431,108,Move on to the right lane and thus curve more promptly.,FALSE,
432,108,Ignore the curve sign and speed along as normal.,FALSE,
433,109,You need to back up your vehicle at the next curve.,FALSE,
434,109,You need to come to a stop and look for oncoming traffic.,FALSE,
435,109,The road ahead is closed.,FALSE,
436,109,"The road has two successive curves, to the right.",TRUE,
437,110,Keep going and expect other road users to give way.,FALSE,
438,110,Come to a stop even if the road is clear.,FALSE,
439,110,"Slow down, be alert, and be ready to yield or stop if appropriate.",TRUE,
440,110,Speed through the intersection before traffic arrives.,FALSE,
441,111,Drive straight through the roundabout without slowing down.,FALSE,
442,111,"Stop completely before entering, even if the road is clear.",FALSE,
443,111,"Slow down, yield to traffic already in the roundabout, and enter when it is safe.",TRUE,
444,111,Speed up and enter the roundabout quickly.,FALSE,
445,112,Speed up to pass the traffic light before it changes.,FALSE,
446,112,Ignore the traffic light and proceed at the same speed.,FALSE,
447,112,Honk to advise other traffic of your approach.,FALSE,
448,112,Be prepared to stop or adjust your speed according to the traffic light ahead.,TRUE,
449,113,Slow down and prepare to stop for pedestrians.,TRUE,
450,113,Speed up to clear the crossing before pedestrians arrive.,FALSE,
451,113,Honk to alert pedestrians of your presence.,FALSE,
452,113,Ignore the sign and proceed at normal speed.,FALSE,
453,114,Yield to pedestrian when they're crossing and slow down,TRUE,
454,114,Accelerate in case one doesn't have to stop for walkers,FALSE,
455,114,Honking at passers-by to make them move in a hurry through the street,FALSE,
456,114,Stop and permit all walkers to go through them. These can include in the street.,FALSE,
457,115,Accelerate in order not to stop for kids.,FALSE,
458,115,Stop and slow down when kids are crossing,TRUE,
459,115,"Drive at a normal pace, kids have to use the sidewalk.",FALSE,
460,115,Honk to alert kids to your presence.,FALSE,
461,116,Cross wherever it is most convenient.,FALSE,
462,116,Stop when automobiles stop and go wherever.,FALSE,
463,116,Look for a pedestrian crossing and cross over at it.,TRUE,
464,116,Cross at the first corner and don't mind the sign.,FALSE,
465,117,Speed through a rapid pass down the bike path.,FALSE,
466,117,Ignore the sign.,FALSE,
467,117,Honking a warning to alert bicycles to move.,FALSE,
468,117,Slow down and move out of your cycling path.,TRUE,
469,118,Sound your honk to make a path for yourself.,FALSE,
470,118,"Maintain your pace, for you have the right of way.",FALSE,
471,118,Ignore the sign because school hours are almost over.,FALSE,
472,118,Slow down and be more careful for kids crossing over.,TRUE,
473,119,That it is a no-entry zone for cars,FALSE,
474,119,That you have to stop and wait for a sign,FALSE,
475,119,"That a child can be in, near, or crossing a street",TRUE,
476,119,That there is a police checkpoint ahead.,FALSE,
477,120,Try to squeeze through carefully.,FALSE,
478,120,Accelerate to pass through in a hurry.,FALSE,
479,120,Stop and re-take your truck's measurement.,FALSE,
480,120,Look for an alternative route for taller cars.,TRUE,
481,121,Please drive cautiously and slow down,TRUE,
482,121,Keep your pace and drive regularly.,FALSE,
483,121,To drive at a fast pace,FALSE,
484,121,Ignore the sign if no other cars are visible.,FALSE,
485,122,Plan your route and transition into your correct route early.,TRUE,
486,122,Disregard the sign and make a spontaneous decision at the eleventh hour.,FALSE,
487,122,Halt in the street in the middle and read them all.,FALSE,
488,122,Squeeze through the intersection in a rapid pace.,FALSE,
489,123,It is a temporary sign for construction.,FALSE,
490,123,It signifies a route to one big location or outlet.,TRUE,
491,123,Road in front is shut down.,FALSE,
492,123,It is a sign for an accident zone.,FALSE,
493,124,Turn at the eleventh hour and disobey the sign.,FALSE,
494,124,Sudden veer onto a highway in a city.,FALSE,
495,124,"Signal first, use your mirrors, and move over to your right-hand lane in preparation for your turn.",TRUE,
496,124,Stop and then wait for all cars to pass through first.,FALSE,
497,125,Use it in checking that one is getting onto the correct highway.,TRUE,
498,125,Disregard it and rely only on GPS.,FALSE,
499,125,Get out at full speed towards the exit.,FALSE,
500,125,Come to a stop at sign to interpret its reading.,FALSE,
501,126,It will soon stop at a road.,FALSE,
502,126,It informs you that you're moving in the correct direction.,TRUE,
503,126,It informs you to make a turn at the following off-ramp.,FALSE,
504,126,Warns of an impending traffic checkpoint.,FALSE,
505,127,Prepare to pay for toll fee posted at toll stop.,TRUE,
506,127,Zip through toll gate in a rush.,FALSE,
507,127,Stop and have an attendant pass through without payment.,FALSE,
508,127,Don't pay tolls and drive through anyway.,FALSE,
509,128,Overtake other cars in the opposite lane.,FALSE,
510,128,Choose your preferred direction in a specific lane.,TRUE,
511,128,Ignore the signs and choose any lane.,FALSE,
512,128,Stop in the middle of the street to make a decision.,FALSE,
513,129,Cross at the first intersection over.,FALSE,
514,129,Walk down to a safer location and then cross over.,FALSE,
515,129,Cross over at an overpass when crossing a street.,TRUE,
516,129,Stop at cars and cross wherever one pleases.,FALSE,
